Accession			Taxon name			ITS1 localization			Sequence description
KC153996			Aspergillus flavus			HMM			Aspergillus flavus strain AFc6 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC175552			Aspergillus flavus			ENA			Aspergillus flavus isolate TFR-17 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC175554			Aspergillus flavus			ENA			Aspergillus flavus isolate TFR-19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC253952			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 12726 isolate ISHAM-ITS_ID MITS129 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC253952			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 12726 isolate ISHAM-ITS_ID MITS129 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC253953			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 13950 isolate ISHAM-ITS_ID MITS130 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC253954			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 14062 isolate ISHAM-ITS_ID MITS131 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC253954			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 14062 isolate ISHAM-ITS_ID MITS131 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339287			Aspergillus flavus			ENA			Aspergillus flavus isolate MDU2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339288			Aspergillus flavus			ENA			Aspergillus flavus isolate CBE2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339289			Aspergillus flavus			ENA			Aspergillus flavus isolate BSR4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339290			Aspergillus flavus			ENA			Aspergillus flavus isolate SA2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339291			Aspergillus flavus			ENA			Aspergillus flavus isolate DG1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC339292			Aspergillus flavus			ENA			Aspergillus flavus isolate BSR3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC347019			Aspergillus flavus			HMM			Aspergillus flavus strain IIHR-SW-AF1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC466528			Aspergillus flavus			HMM			Aspergillus flavus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC479798			Aspergillus flavus			ENA			Aspergillus flavus isolate G41 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480445			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480446			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480447			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480448			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480449			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480450			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF6 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480451			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF7 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480452			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480453			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF9 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480454			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF10 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480455			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF11 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480456			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480457			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480458			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF14 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480459			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480460			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF16 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480461			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF17 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480462			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF18 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480463			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF19 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480464			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480465			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480466			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF22 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480467			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480468			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF24 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480469			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF25 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480470			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF26 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480471			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF27 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480472			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF28 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480473			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF29 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480474			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF30 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480475			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF31 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480476			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF32 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480477			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF33 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480478			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480479			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF35 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480480			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF36 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480481			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF37 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480482			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF38 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480483			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF39 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480484			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480485			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF41 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480486			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF42 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480487			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF43 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480488			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF44 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480489			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF45 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480490			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF46 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480491			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF47 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480492			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF48 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480493			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF49 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480494			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF50 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480495			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF51 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480496			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF52 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480497			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF53 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480498			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF54 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480499			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF55 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480500			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF56 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480501			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF57 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480502			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF58 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480503			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF59 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480504			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF60 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480505			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF61 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480506			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF62 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480507			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF63 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480508			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF64 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480509			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF65 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480510			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF66 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480511			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF67 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480512			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF68 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480513			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF69 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480514			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF70 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480515			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF71 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480516			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF72 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480517			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF73 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480518			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF74 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC480519			Aspergillus flavus			ENA			Aspergillus flavus isolate UOMMAF75 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC524428			Aspergillus flavus			HMM			Aspergillus flavus strain F62 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC621105			Aspergillus flavus			HMM			Aspergillus flavus isolate FSS63 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC786981			Aspergillus flavus			HMM			Aspergillus flavus strain MIAE01221 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KC786982			Aspergillus flavus			HMM			Aspergillus flavus strain MIAE01223 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KC787005			Aspergillus flavus			HMM			Aspergillus flavus strain MIAE01246 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KC787034			Aspergillus flavus			HMM			Aspergillus flavus strain MIAE01297 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
KC790436			Aspergillus flavus			ENA			Aspergillus flavus strain m1 internal transcribed spacer 1, partial sequence.i
KC914096			Aspergillus flavus			ENA			Aspergillus flavus strain MDU-5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990469			Aspergillus flavus			ENA			Aspergillus flavus strain AFc21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990469			Aspergillus flavus			HMM			Aspergillus flavus strain AFc21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990470			Aspergillus flavus			ENA			Aspergillus flavus strain AFc33 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990470			Aspergillus flavus			HMM			Aspergillus flavus strain AFc33 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990471			Aspergillus flavus			ENA			Aspergillus flavus strain AFc34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC990471			Aspergillus flavus			HMM			Aspergillus flavus strain AFc34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC994648			Aspergillus flavus			ENA			Aspergillus flavus strain AFc25 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC994649			Aspergillus flavus			ENA			Aspergillus flavus strain AFc40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF031341			Aspergillus flavus			HMM			Aspergillus flavus strain 14.24 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KF031352			Aspergillus flavus			HMM			Aspergillus flavus strain 26.10 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
